"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"animals","simdrop",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251230171721713,1407.65762328325,1430.95860444898,0.192619076563865,-699.828811641625,2503,0.180254512444691,0.242876630996659
"animals","multimodal","alpha","0","0",NA,NA,NA,NA,NA,NA,0.0235199080926093,1815.81241319104,1839.11339435677,0.0447064611237712,-903.906206595521,2503,0.0491570685326314,0.0881781627783813
"animals","multimodal","alpha","0","1",NA,NA,NA,NA,NA,NA,0.176703025383003,1624.92476565909,1648.22574682481,0.114596555199991,-808.462382829543,2503,0.109642236532805,0.161826175186331
"animals","multimodal","alpha","0","2",NA,NA,NA,NA,NA,NA,0.18188639425355,1613.3464526808,1636.64743384653,0.118423717472924,-802.673226340401,2503,0.114800920371132,0.1667457927661
"animals","multimodal","alpha","0","30000000000000004",NA,NA,NA,NA,NA,NA,0.190567433696952,1592.15934368855,1615.46032485427,0.126414955208468,-792.079671844274,2503,0.122286966525158,0.173904266281261
"animals","multimodal","alpha","0","4",NA,NA,NA,NA,NA,NA,0.202689118330751,1560.64363769545,1583.94461886118,0.138216817686283,-776.321818847726,2503,0.132435904461144,0.187960417787164
"animals","multimodal","alpha","0","5",NA,NA,NA,NA,NA,NA,0.216435237249489,1520.38366613502,1543.68464730075,0.152118168793652,-756.191833067512,2503,0.145354365185332,0.200550057161231
"animals","multimodal","alpha","0","6000000000000001",NA,NA,NA,NA,NA,NA,0.235628156446652,1460.8211990628,1484.12218022853,0.172888596601835,-726.410599531399,2503,0.1626089620394,0.222826730137034
"animals","multimodal","alpha","0","7000000000000001",NA,NA,NA,NA,NA,NA,0.243162706923709,1435.99660237145,1459.29758353718,0.182313795013774,-713.998301185727,2503,0.171181237224607,0.232379183431813
"animals","multimodal","alpha","0","8",NA,NA,NA,NA,NA,NA,0.252063888502732,1404.93194736899,1428.23292853472,0.192708335440906,-698.465973684495,2503,0.180180349803706,0.243044462952082
