"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"animals","simdrop",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33089239876376,1727.55700317899,1743.32165760923,0.148617957925883,-860.778501589497,1415,0.132382716446716,0.219417263707141
"animals","multimodal","alpha","0","0",NA,NA,NA,NA,NA,NA,0.103231848914265,1872.54599559294,1888.31065002318,0.0437913277676384,-933.272997796472,1415,0.0393402424760973,0.100888670642493
"animals","multimodal","alpha","0","1",NA,NA,NA,NA,NA,NA,0.879651054631822,1805.78329352709,1821.54794795732,0.0908141473249231,-899.891646763543,1415,0.0778277804748666,0.153494498005277
"animals","multimodal","alpha","0","2",NA,NA,NA,NA,NA,NA,0.912010103392609,1801.0636541981,1816.82830862834,0.0940227996604564,-897.531827099052,1415,0.0815606652794471,0.156649484692734
"animals","multimodal","alpha","0","30000000000000004",NA,NA,NA,NA,NA,NA,0.975104020475552,1791.67597615069,1807.44063058092,0.101485899413903,-892.837988075346,1415,0.0901034334151261,0.166066367513085
"animals","multimodal","alpha","0","4",NA,NA,NA,NA,NA,NA,1.03476919006741,1782.24716769348,1798.01182212372,0.109149083539736,-888.123583846742,1415,0.0969500525581907,0.177847300450837
"animals","multimodal","alpha","0","5",NA,NA,NA,NA,NA,NA,1.10636364455431,1769.64301458505,1785.40766901528,0.118974978559983,-881.821507292526,1415,0.106322127135989,0.188691808491635
"animals","multimodal","alpha","0","6000000000000001",NA,NA,NA,NA,NA,NA,1.23983926204697,1744.82736424207,1760.59201867231,0.135215205816109,-869.413682121037,1415,0.120203526110466,0.20148226237095
"animals","multimodal","alpha","0","7000000000000001",NA,NA,NA,NA,NA,NA,1.29804863120769,1734.47970568158,1750.24436011181,0.144667083371208,-864.23985284079,1415,0.126969686640262,0.215604028222687
"animals","multimodal","alpha","0","8",NA,NA,NA,NA,NA,NA,1.34599541460862,1725.21572176586,1740.98037619609,0.152796692912651,-859.60786088293,1415,0.136989821689199,0.226140167204568
"animals","multimodal","alpha","0","9",NA,NA,NA,NA,NA,NA,1.31456930483505,1731.05273453517,1746.8173889654,0.146682766944956,-862.526367267583,1415,0.131260645597361,0.218495117792586
"animals","multimodal","alpha","1","0",NA,NA,NA,NA,NA,NA,1.33089239876376,1727.55700317899,1743.32165760923,0.148617957925883,-860.778501589497,1415,0.130807838552944,0.219639196886649
"animals","associative",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61348288833905,1446.29580234169,1462.06045677192,0.32772398903434,-720.147901170844,1415,0.302830735839005,0.409554832436407
"animals","categorical",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.33051472617543,1513.14405928485,1528.90871371509,0.279485122804493,-753.572029642427,1415,0.254399434533346,0.359867609687781
"animals","delta","rise","0","0","fall","0","0",NA,NA,NA,1.56098735016148,1695.50285226956,1711.26750669979,0.176777936614851,-844.751426134779,1415,0.157858141749619,0.249357186100925
